Lens ID,Publication Year,Abstract,Keywords
032-563-805-669-079,2012,"This paper reports the results of a study concerning the expectations for the transition from kindergarten to primary school amongst teachers, parents and children in Hong Kong. It probes the expectations that teachers and parents have about children’s competence in five specific areas of child development thought to be essential for a smooth such transition, as well as children’s competence in these different developmental areas and their performance upon the transition to primary school. The study’s data were obtained through questionnaires, semi-structured interviews and classroom observations, and its results will serve as a reference for evaluation of existing transitional practices and the design of effective transition programmes in the local context. Children’s voices and their observed performance during the transition period indicate that they have varied expectations of the transition. Parents, in contrast, have high expectations for their children’s academic ability and self-discipline. Both p...",early intervention; transition; parents; teachers; Bronfenbrenner's ecological model Inclusive Education; Special needs & Disabilities; Behavioral problems; Learning difficulties; New pedagogical approaches & Best Practices; Social adaptation; Teaching methods & Interdisciplinary cooperation; Early educational intervention; Intellectual disability; Multiple disabilities Inclusive Education; Special needs & Disabilities; Behavioral problems; Learning difficulties; New pedagogical approaches & Best Practices; Social adaptation; Teaching methods & Interdisciplinary cooperation; Early educational intervention; General school; Health; Education & lifelong Learning for All
032-648-711-976-45X,1992,"The parenting stress of families who have a child with a disability is an area receiving considerable research. The present study used a family strengths or “normality” perspective to investigate three issues regarding parent-related and child-related parenting stress, as measured by the Parenting Stress Index (PSI) (Abidin, 1990). A large sample (n = 725) of families who had a young child with disabilities participated. A comparison of parent-related and child-related parenting stress between the sample of families with a child with disabilities and the PSI normative sample was conducted. The distribution of PSI scores for the sample of families of children with disabilities was examined for statistical normality, and normative data for these families were presented. An item analysis was conducted on child-related parenting stress to examine issues regarding its construct validity for families of children with disabilities. Issues regarding the use of stress measures and to the construct of child-related...",
032-681-686-586-808,2014,"Construction of an education curriculum and its teaching methods related to arithmetic activities on the basis of early childhood development for children with intellectual disabilities, sickly, and physically-disabled Chie Hotta , Hidetsugu Tajika , Ikuko Hotta , Takeshi Hatta (1) (1) Department of Health Science, Kansai University of Social Welfare, Japan (2) Department of Education and Psychology, Kobe Shinwa Women’s University, Japan (3) Women’s Consultation Center, Japan",education curriculum; teaching method of arithmetic activities; early childhood development; children with special needs; child's conception of number
032-700-750-349-235,2016,,
032-791-812-561-271,2008,"The national agenda for early intervention for young children with disabilities has been articulated through the early childhood programs under the Individuals With Disabilities Education Act. Part B and Part C of the act address states' responsibilities in creating and managing systems of services. Part D of the act supports research, innovation, technical assistance, and dissemination to improve systems and services. Together, these programs have accomplished much in 30 years, but there are remaining, and new, challenges to serving all eligible young children.",
033-381-105-546-843,2021,"This paper aims to survey and interview parents of young children with disabilities to document their perspectives on what professionals working with their children need to know. Rather than comparing opinions over time or as part of an outcome study, this paper met with participants at a single point in time for a conversation addressing two questions with implications for training, program development and continuing research, namely, to what extent do families believe the Advancing Community College Efforts in Paraprofessional Training (ACCEPT) standards and topics are important to include in educational programs preparing professionals to work with young children with disabilities in inclusive settings (survey)? How satisfied or dissatisfied are families with the practices of early childhood educators working with their children with disabilities in inclusive and other settings (focus group)? What knowledge and skills do families recommend are important for the preparation of early childhood educators working with children with disabilities in inclusive and other settings (focus group)?,An exploratory design was used to gather information for use in future research and program development and research efforts. Descriptive statistics were compiled for the survey data and focus group interviews were content-analyzed for themes consistent with the project’s eight standards and topics.,Analyzes of survey and focus group interview data indicated that parents/caregivers held consistent views about information and skills needed to prepare teachers and others to work with children with disabilities in inclusive settings. Parents/caregivers were asked to complete a brief survey prioritizing the importance of the eight ACCEPT standards and topics when preparing early childhood educators for working with children with disabilities in inclusive settings. They all (n = 21) rated each standard and topic as “very important” (4) and provided 184 comments during follow-up interviews that represented positive examples, negative examples and recommendations distributed across the eight focusing standards.,This research identified the need for educators to understand the high value and importance of communication with parents of children with disabilities. This study further suggests the need for teachers to value each child’s individual needs and differences for their relationships with children and families to thrive.",
033-539-092-037-544,1993,"Professional roles and responsibilities in early childhood special education (ECSE) are rapidly expanding to encompass increasingly complex functions related to work with young children with disabilities and their families in a variety of community contexts. Traditional frameworks for conceptualizing the roles of professionals in ECSE and/or early intervention have focused almost exclusively on the direct service component of the early childhood special educator's job. Furthermore, existing conceptualizations have not addressed how professionals can balance multiple roles to avoid role conflict and role overload. Implications of expanding roles for personnel preparation and practice are discussed.",
033-664-672-342-978,2015,"The transition to kindergarten is regarded as a critical early childhood developmental milestone with important implications for later school outcomes. Little prior research has focused on predictors of socio-behavioral kindergarten outcomes using longitudinal research designs. Further, few studies have examined kindergarten transition using samples of children both with and without disabilities. The goal of the current study was to explore predictors of socio-behavioral kindergarten outcomes in children with and without developmental disabilities over time. Data collection involved parent, preschool teacher, and kindergarten teacher reports of child behavior and involvement in kindergarten transition practices across three time points during transition. Results of hierarchical linear regression analyses demonstrated that preschool child behavioral variables (i.e., adaptive and problem behavior) were stronger predictors of kindergarten outcomes relative to caregiver concerns and involvement in transition preparation. Best practices in kindergarten transition programming for children with and without disabilities are discussed.",
033-707-701-178-984,1992,"After several years, the integration of preschoolers with severe disabilities remains a controversial issue. Integration is a complex and active process involving more than merely placing the child...",
033-983-036-820-287,2018,"Early interventionists (EIs) support families of infants and toddlers with delays and disabilities. Children with disabilities are a high risk for abuse and neglect. To understand how or whether trauma-informed practices are utilized in early intervention, 28 EIs participated in focus groups to share their experiences, challenges, and strategies when supporting children with disabilities who have also been abused. A thematic analysis was used to analyze the data. Participants indicated that they experienced challenges related to identifying signs and symptoms of child abuse and neglect, making decisions regarding their role as a mandated reporter and differentiating between family circumstances (i.e., poverty) and abuse and neglect. Participants also indicated that their educational programs did not prepare them to utilize trauma-informed practices or prepare them to work with children who have been abused or neglected. Overall, the EI system supports individuals with disabilities who are more vulnerable to abuse, neglect, and maltreatment. However, this study indicates EIs do not feel prepared or confident to support children who have experienced abuse. (PsycINFO Database Record (c) 2019 APA, all rights reserved).",
034-067-780-509-289,2009,"In the New Zealand education system, as in other countries, legislation and early childhood policy has been developed to support equity, social justice and democratic participation for children with disabilities and their families. However, despite this non-discriminatory and inclusive policy and legislative environment, some children with disabilities and their families experience exclusionary and discriminatory early childhood settings and struggle to access quality education. In this article, the author examines some of the barriers to and facilitators of inclusion for children with disabilities and their families in early childhood education. The author also suggests some changes in cultures, policies and practices that may help create early childhood settings that would see all children included.",
034-267-486-018-709,2025,"<jats:p>Abstract; Disabilities in children arise from a complex interplay of biological, environmental, and socio-cultural factors, impacting development from conception through childhood. These factors are broadly categorized as prenatal, perinatal, and postnatal causes, each with significant implications for physical, cognitive, and psychosocial well-being. Beyond medical determinants, social inequities, poverty, inadequate healthcare infrastructure, and stigma contribute to both the prevalence and the severity of childhood disabilities. This article explores the multifactorial causes, the impact of disabilities on children, families, and communities, and highlights the critical role of early intervention and rehabilitation. By analyzing both medical and socio-environmental contributors, and situating the discussion within broader policy and programmatic contexts, this article underscores the need for an integrated, inclusive approach to disability prevention and management. It argues that timely interventions, inclusive education, and strong community support can mitigate long-term challenges, empowering children with disabilities to achieve their full potential.</jats:p>",
034-720-524-151-336,2012,"This study examined preservice teachers’ self-efficacy in teaching children with disabilities to determine; whether firsthand field experience in an inclusive setting influences preservice teachers’ self-efficacy. A; total of 146 preservice teachers enrolled in an early childhood teacher education program in a suburban; area in the U.S. Midwest participated in this study. The results revealed that the preservice teachers with; firsthand field experience (attendance) in an inclusive classroom perceived themselves to be more; efficacious than their counterparts. However, there were no significant effects of time spent at the; inclusive setting and courses taken. The present study discusses educational implementation of firsthand; experience into teacher preparation programs to enhance teacher effectiveness.",
034-813-789-481-173,2025,"<jats:title>Abstract</jats:title>;                   <jats:p>Given high exclusionary discipline practices and decisions in early childhood education, it is important to understand teachers’ experiences with challenging behaviors and examine factors associated with their experiences. Depression, as a significant indicator of well-being and prevalent among early educators, is understudied in relation to teachers’ challenging behavior experiences. This study examines the association between early childhood teachers’ self-reported depression scores and experiences with children’s challenging behaviors and whether this association varies for teachers working with children with disabilities (CWD), using data from the 2019 National Survey of Early Care and Education. The analysis focused on 3079 center-based early childhood teachers. Both linear and ordinal logistic regression were used to analyze the data. The results showed that teachers with higher levels of depression scores were significantly more likely to report higher levels of challenging behaviors in children. While working with CWD increases the likelihood of reporting challenging behaviors, it did not significantly alter the association between teacher depression and their experiences with challenging behaviors. Implications of these findings are discussed.</jats:p>",
034-839-994-992-752,1998,,
034-886-323-667-459,1992,"The purpose of this article is to explore the issues concerning the adaptation of school-based service delivery concepts for use in early childhood special education programs. The use of categorical labels for determining eligibility for preschool children is not required by law—and may be detrimental. The following concerns are discussed: (a) definitional issues in learning disabilities versus low achievement, (b) the dangers of labeling and low expectation sets, (c) repeated failure to demonstrate movement through a continuum of services (particularly to least restrictive environments), and (d) the efficacy of early intervention and school-based special services for those with mild or suspected developmental disabilities. Research is reviewed concerning definitional and assessment issues utilizing learning disabilities as a construct. Alternatives for describing the characteristics of young children who are significantly at risk or developmentally delayed are provided.",
034-939-332-017-446,2022,"<AbstractText Label=""PURPOSE"">This commentary examines the provisions for early childhood development (ECD) in the global action plan for rehabilitation published by the World Health Organisation (WHO) within the context of the United Nations' Sustainable Development Goal (SDG) for inclusive education.</AbstractText>;           <AbstractText Label=""METHODS"">The meeting reports of the WHO Rehabilitation 2030 for 2017 and 2019 and the related documents were reviewed along with ECD policy documents from WHO, UNICEF, UNESCO, and the World Bank.</AbstractText>;           <AbstractText Label=""RESULTS"">The importance of a life-course approach to rehabilitation for the health and wellbeing of persons with disabilities was highlighted in the Rehabilitation 2030. However, the critical and foundational role of rehabilitation in ECD for children with disabilities to facilitate inclusive education, especially in low- and middle-income countries as envisioned by the SDG 4.2, was not clearly addressed. Children under 5 years with developmental delays and disabilities who are not developmentally on track in health and psychosocial wellbeing require timely rehabilitation to ensure that they benefit from inclusive education.</AbstractText>;           <AbstractText Label=""CONCLUSIONS"">The culture and practice of rehabilitation should be nurtured from infancy as an indispensable component of ECD to adequately prepare children with developmental disabilities for inclusive education and ensure effective rehabilitation services over the life course. IMPLICATIONS FOR REHABILITATIONRehabilitation is an integral and critical component of early childhood development to optimise school readiness for children with developmental disabilities.Routine newborn screening, developmental assessment, and surveillance of children from birth are foundational to any effective rehabilitation in early childhood.Global investment to promote and support rehabilitation services from early childhood within the health systems and across all levels of service delivery including community settings is warranted to achieve the sustainable development goals for children with disabilities.</AbstractText>",Childhood disability; SDG; developmental disabilities; early intervention; global health; inclusion; inclusive education
035-245-955-643-056,2020,The purpose of this research was to measure teachers and students interpersonal competences in situations that a teacher may face at school and which require interpersonal interaction with students...,
035-484-394-758-870,2025,"<jats:p>This study was conducted to provide basic data for education regarding the rights of children with disabilities by examining the awareness of early childhood teachers in Jeju region on the rights of children with disabilities. The participants were 128 early childhood teachers working at early childhood education institutions in Jeju region. The research tool was a 5-point Likert scale questionnaire that was revised and supplemented from previous studies, with an internal consistency (Cronbach's alpha) of .989. The collected data were analyzed using SPSS 18.0, employing descriptive statistics, t-tests, F-tests, and Scheffe post hoc analysis. The results of the study are as follows. First, the overall awareness of early childhood teachers on the importance of the rights of children with disabilities was high. Second, the awareness of early childhood teachers on the importance of the rights of children with disabilities was not affected by the type of institution, teachers' age, hours of disability-related training, or degree of completion of disability-related courses. However, the awareness was affected by the teachers' years of experience and whether they had experience working with children with disabilities. Third, early childhood teachers’ implementation awareness on the importance of the rights of children with disabilities was relatively lower than the teachers’ awareness on the importance of such rights. Fourth, among the sub-factors of the rights of children with disabilities, there was no difference between perceived importance and perceived implementation in the right to survival. However, for the rights to protection, development, and participation, the perceived implementation was lower than the perceived importance. Lastly, the content of education on the rights of children with disabilities for early childhood teachers was discussed and suggested based on the results of the study.</jats:p>",
035-525-963-635-079,2019,"This knowledge synthesis aims to understand Indigenous experiences of early childhood education, care, family support, intervention, health, and Indigenous services in the context of childhood disability. Each of these institutional contexts has its own underlying professional discourses and worldviews. Knowledge from three sources have been synthesized: (1) interviews with Indigenous families about their experiences of having disabled children, conducted through the Inclusive Early Childhood Service System (IECSS) Project; (2) analysis of the IECSS interviews by the Districtof Temiskaming Elders Council and Indigenous community partners; and (3) the existing body of literature on disability and Indigenous children.This project was conducted in partnership with a mixed team of Indigenous and settler researchers.",
035-544-559-008-608,2017,"Initially developed from policies implemented under British rule, the integrated programme for children with disabilities has not been widely publicised in the context of early childhood education ...",
035-595-454-588-087,2013,"Quality literacy instruction in preschool can be critical to the future academic success for all children, but may be even more so for children with disabilities. The purpose of this study was to e...",
035-910-277-432-563,1994,"Perceived and preferred roles of 67 school psychologists in early childhood special-education programs were examined in a partial replication with 268 respondents in Illinois of Mowder, Willis, and Widerstrom's work. The most commonly cited reason for consultation with school psychologists was related to psychological assessment, with information on children's functioning as the most likely benefit. Respondents preferred the mental health model. Although respondents were satisfied with the roles of school psychologists, they presented several concerns about expanded roles for school psychologists.",
035-981-035-858-842,2023,"<jats:p>The purpose of this study is to explore the meaning of play participation and teacher support for young children with special needs in the practicum of pre-service early childhood special teachers. To this end, focus group interviews and individual in-depth interviews were conducted for pre-service early childhood special teachers. The interview data was analyzed by deriving major concepts through semantic unit analysis and categorizing them. As a result of the analysis, 49 main concepts, 15 subcategories, and 5 upper categories were analyzed, and the specific research results are as follows.; The meaning of play for children with disabilities and support for play by teachers is as follows: ‘The story of play that is specially created and disappears’, ‘The power that makes play possible: external conditions of play’, ‘Searching for various ways to support play’, ‘Rediscovering the meaning of play-centered curriculum’, ‘New changes needed: suggestions for teacher training course’. This study can be used as educational material for the operation of the 2019 revised Nuri curriculum and support for play in the pre-service early childhood special teachers teacher training course.</jats:p>",
036-073-710-656-033,2009,"Despite the shift from traditional to progressive discourse among disability activists and social science academics, the former remains the dominant discourse of disability. In the present study, we examine how Greek teacher candidates, although being considerably exposed to a progressive discourse during their lectures, represent disability in the context of their disability simulations, which favor traditional discourse. The critical discourse analysis of their written accounts reveals that, in quantitative terms, teacher candidates represent disability by drawing upon both traditional and progressive discourses. Seen qualitatively, however, it appears that progressive discourse is a subjugated discourse, compared with the dominant traditional one.",
036-135-996-993-692,2010,"Spoken parent—educator interactions through language interpreters for parents who do not speak English can challenge early intervention/early childhood special education professionals. Research suggests that language interpretation is often inadequate to ensure that the parental participation, informed parental consent, and interpretation mandates of IDEA (P.L. 108-446) Parts B and C are met. Examples from several contexts are presented to illustrate communication disconnects between early educators and parents. Subsequently, a discussion of quality language interpretation in early intervention/ early childhood special education is presented followed by program and policy recommendations.",
036-243-119-955-879,2005,"This study describes the lived experience of Kevin, a young child with physical disabilities who is placed in an inclusive classroom, a classroom where children with and without disabilities are educated together, with extra support provided for the child with disabilities. Children with disabilities who are placed in inclusive early childhood settings tend to be rejected or neglected more than their typically developing peers and are involved more with the adults in the classroom than with their peers. Kevin’s experiences are framed in the context of the current emphasis on inclusive practices. The study documents that adult assistance and curriculum activities both play an important role in either facilitating or constraining social interaction with peers. When the assigned assistant functions as the child’s playmate and mostly chooses table activities, both of these seem to limit opportunities for social interaction with peers. This study also documents that, without the assistant present, the child makes independent choices such as where and with whom to play. The dramatic play area serves as a conduit for meaningful verbal and nonverbal communication with peers. At the same time, Kevin’s strong desire to play in this area seems to be the impetus for physical development—he walks alone for the very first time. Suggestions are given for teacher facilitation of dramatic play.",
036-286-485-076-057,2001,"Children with differences and disabilities are a significant concern and responsibility of the community. Contemporary views on delivery of early intervention services are soundly embedded within the context of the family and the community. Early childhood service providers have a critical role in inclusive settings for facilitating the needs of these children and their families. Such integrated settings can provide enriching experiences for all children. This article reviews the trends in provision of services to children with special needs and demonstrates the research-based efficacy of early intervention in family-centred inclusive contexts in early educational and care settings. Multidisciplinary teams are central to planning and delivery of early intervention services, and early childhood providers are essential team members. It is argued that the changing roles of early childhood teachers need to be acknowledged and strengthened, for they are well equipped to coordinate and implement the interventio...",
036-483-657-010-314,2019,"ABSTRACTEarly childhood settings have the potential to support learners with diverse learning needs, including children with disabilities. However, if educators do not feel prepared to teach childr...",
036-735-162-673-851,2018,AbstractStudies on parental views and experiences of the integrated programme implemented in mainstream early childhood settings for children with disabilities are dominated by the perspectives of ...,
036-740-660-878-530,1994,"This report describes a mail survey of general early childhood educators to determine the extent to which representatives from various disciplines, commonly found on early childhood education teams, are employed by general early education programs. Randomly selected respondents were from four types of programs: Head Start, public school prekindergarten, public school kindergarten, and community preschool/child care. Of the 893 mailed questionnaires, 483 (54.1%) were returned and coded. Respondents indicated that programs that enrolled at least one child with disabilities tended to employ higher percentages of personnel in related service disciplines than did programs with no children with disabilities. Among other results, surveys indicated that relatively few programs reported having sufficient related service personnel to form basic team constellations.",
037-122-685-331-329,2005,"In March 2005, Barry Carpenter, OBE, Chief Executive and Director of Research at Sunfield, an education and residential care centre for children with severe and complex learning needs, gave his inaugural professional lecture at University College Worcester. This article is based on that lecture. In it, Barry Carpenter reviews international trends in early childhood intervention and relates these to changing patterns of childhood disability, family needs, practitioner-led service development and Government policy initiatives. He describes a political climate in the UK which is ripe for the development of a nationally cohesive programme of early childhood intervention and proposes a number of key factors hat are crucial to the consolidation of the plethora of initiatives that have taken place in the UK in recent years. These include: early interventions that are delivered from the point of diagnosis; practice that is transdisciplinary; and high quality training for professionals. At the heart of this process, however, must be the voice of the family - guiding, informing, sharing, engaging. The key to successful early childhood intervention, Barry Carpenter argues, is responsivity - to society, to its families, but most of all to its children. [ABSTRACT FROM AUTHOR]",
037-202-253-071-690,2020,"Parents of young children with disabilities may experience high levels of stress and psychological distress that may put them at higher risk for experiencing suicidality. Thus, early childhood home visitors (e.g., professionals who work for home-based early intervention programs) may serve as important gatekeepers for identifying and referring parents who are experiencing psychological distress, including suicidal thoughts. However, most early childhood home visitors do not receive training on identifying or intervening with distressed and potentially suicidal caregivers. Therefore, early childhood home visitors would benefit from acquiring evidence-based, accessible strategies for identifying and responding to caregivers who they know or suspect are experiencing suicidal thoughts—a class of knowledge and skills that can be obtained through “suicide gatekeeper” training. In this article, we provide evidence-based information about suicide risk among parents of young children with disabilities, the intervention of suicide gatekeeping, and how suicide gatekeeping can be incorporated into the early childhood home visitor role.",
037-380-079-802-364,2015,"Early literacy experiences are critical for young children’s development. More specifically, quality literacy experiences are beneficial to children’s understanding of their world. Ensuring that early childhood literature appropriately reflects the diversity of children’s life experiences can support their sense of belonging within an early childhood environment. Considering that the number of children with diverse abilities who attend general education classrooms is increasing, it is imperative that these classrooms provide welcoming and supportive environments for all children. One way to support inclusive environments for children with disabilities is to ensure that classroom books include characters with and without disabilities. As many early childhood teachers and family members regularly use community libraries to find books to read to young children, exploring how characters with disabilities are represented in library books is important. Results of a study focusing on children’s library books revealed that characters with diverse abilities were represented in ways that promote their inclusion, however some books displayed poor insight into the individual lives of characters with varying abilities. Implications for research and practice are discussed.",
037-407-199-378-382,2021,,
037-489-781-931-640,2010,"Abstract Several researchers explored the impact of cognition, language and social understanding on theory of mind abilities in typically developing (TD) children and children with intellectual disabilities (ID) (either ID of genetic origin or non-specific ID). The aim of the present study was to determine the specificity of the theory of mind deficit to different groups of children with ID. The results are in accordance with the developmental approach of similar structure hypothesis ( Zigler, 1969 ). The findings are discussed in terms of the specificity of the etiology-related theory of mind profiles of ID groups, considering the educational and social inclusion practices.",Theory of mind beliefs; hypothesis of similar structure; intellectual disabilities; down syndrome; educational practices
037-579-090-553-467,2008,"Although the use of assistive technology for young children is increasing, the lack of awareness and the lack of training continue to act as major barriers to providers using assistive technology. This article describes an assistive technology toolkit designed for use with young children with disabilities that can be easily assembled and implemented by early childhood professionals. Specifically, we will describe assistive technology tools that support young children’s participation in their daily activities that involve movement and sensory needs, communication, and interaction with materials and offer strategies on how to implement these devices. An assembled toolkit that allows young children with disabilities immediate access to experiences that lead to acquisition of skills they need to learn and grow is discussed.",
037-817-756-518-424,2017,"Zusammenfassung In der jungeren Vergangenheit wird die Teilhabe von Kindern und Jugendlichen mit Behinderungen vor allem durch die UN-Behindertenrechtskonvention (UN-BRK) in Deutschland (wieder) zum Thema der Bildungspolitik und damit in den Fokus der schulischen sowie fruhkindlichen Bildungseinrichtungen geruckt. Insbesondere im Zuge der Diskussion um inklusive Bildungsprozesse und -strukturen kommt es auch in Ausbildungseinrichtungen der Fruhpadagogik zu veranderten Anforderungen und Anspruchen eine Neuorientierung anzuregen und die Auszubildenden fur inklusive Settings zu sensibilisieren. Der Beitrag zeigt, wie sich in der Rekonstruktion der Entwicklung fruhpadagogischer Ausbildungs- und Studienangebote im historischen Verlauf die Dominanz der Differenzlinie „Gesundheit“ auf struktureller sowie inhaltlicher Ebene abzeichnet, welche eine Konstruktion des Regelkindes begrundet und dazu fuhrt, dass trotz der erkennbaren Absicht, (im Kontext von Inklusion) eine Padagogik mit allen Kindern anzustreben, die Beobachtung von Bedurfnissen weitgehend anhand gesundheitlicher bzw. biologischer Differenzkategorien strukturiert wird. So wird in der Ausbildungslandschaft weiterhin eine Padagogik fur Menschen mit Behinderung getrennt von anderen Padagogiken gelehrt, wodurch eine historisch ableitbare Konstruktion des sog. Regelkindes in der fachschulischen, aber auch der hochschulischen Ausbildung nicht nur reproduziert, sondern damit auch weiterhin verstarkt wird. Schlagworter: Behinderung, Ausbildung, Fruhpadagogik, Teilhabe ----- The “Standard Child” as the Norm – The (Historical) Preparation of Disability in Training Early Educational Staff Abstract In recent years the participation of children and young people with disabilities is (again) brought up as a central topic in education policy in Germany and thus the focus of school and early childhood education facilities mainly because of the UN Disability Convention (UN CRPD). In particular, the debate on inclusive education processes and structures yields changing demands and claims towards a reorientation in educational institutions of early childhood education and a sensitization of trainees for inclusive settings. The article shows how the dominance of “health” as a category of difference is emerging on the structural and the content level in the reconstruction of the historical development of early educational training and study programs in the historical course. It also shows how the construction of a “standard child” is established which leads the observation of needs as largely structured on the basis of health / biological categories of difference despite the apparent intention (in the context of inclusion) to generate an education for all children. In professional training the education for people with disabilities is still taught separately from other pedagogies and therefore a historically derivable construction of the socalled “standard child” (German: Regelkind) is not only reproduced but also reinforced in the education of pedagogical staff. Keywords: Disabilities, Education, Early Childhood Education, Participation ----- Bibliographie: Haude, Christin/Volk, Sabrina: Das Regelkind als Norm – Zur (historischen) Herstellung von Behinderung in der Ausbildung fruhpadagogischer Fachkrafte, Diskurs Kindheits- und Jugendforschung, 1-2017, S. 5-18. https://doi.org/10.3224/diskurs.v12i1.02",Behinderung; Ausbildung; Frühpädagogik; Teilhabe
038-035-588-970-701,2023,"<jats:p>This article aims to study the inclusion of children with special needs in childhood. Whereas inclusive education and special education are in different philosophies and alternative visions of early childhood education with special education and special needs. They are increasingly considered to be diametrically opposed in their approaches. This article presents a theory of special education that comprises a synthesis. the philosophy, values ​​and practices of inclusive education as interventions, strategies and procedures of special education. The development of inclusive special education aims to provide a framework and guidelines for effective education policies, procedures and strategies for all children as children with special educational needs and disabilities.</jats:p>",
038-336-865-047-448,2015,,
038-401-948-348-80X,2006,"As more children with disabilities are served in early childhood settings, preservice training programs have a responsibility to provide future early childhood educators with the knowledge, skills, and confidence to actively participate as a team member in meeting the needs of young children with disabilities. This article provides a description of the rationale and process that a professor in early childhood special education (ECSE) and an instructor in early childhood education (ECE) used as they designed and implemented a coteaching model in the methods and materials prekindergarten course. Specific activities that were incorporated into the class to promote a better understanding of special education and how to meet the needs of all children are shared. Last, each instructor shares what he or she learned from the experience.",
038-826-586-143-826,2015,"The present study combined a functional abilities approach to characterizing childhood disability with person-oriented analytic techniques to identify and describe functional profiles of young children with disabilities. Nationally representative data from the Pre-Elementary Education Longitudinal Study was used, which included nearly 3,000 preschool children with disabilities. Exploratory analyses using latent class analysis were conducted to determine if distinct and interpretable subgroups of children based on shared profiles of functional ability would emerge. Five distinct latent subgroups were identified, and functional profiles for these subgroups are described. The authors examined classification accuracy and describe demographic characteristics, activity participation levels, and environmental conditions for each subgroup. The utility of a functional approach to examining childhood disability in special education and related fields is discussed.",
038-889-457-466-037,2023,"<jats:p>Early science, technology, engineering, and math (STEM) learning experiences often exclude children with disabilities and intersecting identities. To promote learning in STEM for all children, the Curriculum Research Framework (CRF) was applied to build learning trajectories of STEM for children from birth to age 5. The CRF was extended and enhanced to generate explicitly inclusive learning trajectories for children with and without disabilities. The process of generating a priori foundations, building learning trajectories, and testing the results in inclusive settings led to new resources for early childhood education (ECE) and early childhood special education (ECSE) practitioners and generated implications for creating and evaluating learning trajectories in ways that affirm that all children belong in STEM. Challenges faced and lessons learned in this process are presented to guide future research and development using the revised and enhanced CRF.</jats:p>",STEM education; curriculum research; equity; inclusion; early childhood education; early childhood special education
039-030-234-071-454,2011,The study of transition process for young children with disabilities and their families is complex. This complexity is reflected in efforts by researchers and policy makers to understand the phenom...,
039-048-287-908-911,2006,"(2006). Including Children with Disabilities in Early Childhood Education Programs: Individualizing Developmentally Appropriate Practices. Childhood Education: Vol. 83, No. 2, pp. 92-98.",
039-489-413-816-756,2018,"This paper identifies and discusses major issues and trends in special education in Indonesia, including implications of trends for the future developments. Trends are discussed for the following areas: (1) inclusion and integration, issues will remain unresolved in the near future; (2) early childhood and postsecondary education with disability students, special education will be viewed as lifespan schooling; (3) transitions and life skills, these will receive greater emphasis; and (4) consultation and collaboration , more emphasis but problems remain. Moreover, the participant of the study in this paper was an autism student of twelve years old who lived at Maguwoharjo, Yogyakarta. This study was qualitative with case study as an approach of the research. The researchers conclude the autism that has good academic, communication and emotional skill are able to go to integrated school accompanied by guidance teacher. But in practice, inclusive education in Indonesia is inseparable from stakeholders ranging from government and institutions such as schools, educators, school environment, community and parents to support the goal of inclusive education itself. Adequate infrastructure also needs to be given to the school that organizes inclusive education for an efficient and effective students understanding learning-oriented of inclusive education. In short, every child has the same opportunity in education, yet for special education which is aimed at student with special educational needs.",inclusive education; early childhood; integrated school
039-656-709-049-387,2022,"Early childhood special education (ECSE) teachers report high levels of stress, but little is known about the well-being of educators working with young children with disabilities. This study explores latent class analysis of early childhood special educator well-being, based on multidimensional measures of mental health and well-being to investigate whether qualitatively different subgroups of teachers exist within this population. With calls to make teacher training universal, there is a critical need to learn how ECSE experiences well-being to inform future practices in the field. Recommendations for research, practice are discussed.",
039-849-486-700-46X,2025,"<jats:p xml:lang=""en"">Leaders of early childhood programs play a critical role in fostering inclusion and ensuring teachers effectively implement inclusive practices to provide meaningful and enriching learning experiences for all children. However, limited research exists on perspectives about inclusion. This study examined the perceptions of early childhood leaders about the inclusion of young children with disabilities. A total of 168 leaders (directors and assistant directors) participated in the study. Findings revealed moderately favorable perceptions of inclusion. Gender, age, administrative role, and community type were found to predict leaders' perceptions, while professional and personal experience did not show significant associations. These results highlight the need for further research and have implications for inclusive practices in early childhood settings.</jats:p>",
039-917-157-779-914,2014,"This paper discusses the utility of the International Classification of Functioning, Disability and Health – Children and Youth – ICF-CY (WHO, 2007) in the scope of Early Intervention and Early Childhood Special Education. We will discuss the relevance of the ICF- CY as an operationalization of an unifying and comprehensive theoretical approach. This approach describes the person’s functioning while taking into account individual participation, based in an interactive person-environment process, thus overcoming the diagnostic approaches to development. The general lines of research that are being developed at the  Faculdade de Psicologia e de Ciencias da Educacao da Universidade do Porto, concerning the utility of the classification in the assessment-intervention process in Early Intervention and Early Childhood Special Education will be presented. ; DOI: http://dx.doi.org/10.17575/rpsicol.v23i2.332",
