Lens ID,Title,Publication Year,Source Country,Author/s,Keywords
041-245-934-683-304,"Review of: ""COVID-19 Vaccine Effectiveness Against Long-COVID-19 Condition in Pakistan""",2024,,Shaharior Rahman Razu,
041-321-880-208-453,The teachings of Long COVID,2021,England,Nisreen A Alwan,Epidemiology; Health services; Signs and symptoms
042-698-305-184-682,Histopathological Impact of Long COVID on Organ Tissues Study the long-term tissue-level effects of post-acute COVID syndrome.,2025,,Md Azahar; Pooja Choubey; Sanjeev Ahirwar; Ritu Kolhe,
042-810-786-998-296,Vaccine Effectiveness Against Long COVID in Children: A Report from the RECOVER EHR Cohort.,2023,United States,Hanieh Razzaghi; Christopher B Forrest; Kathryn Hirabayashi; Qiong Wu; Andrea Allen; Suchitra Rao; Yong Chen; H Timothy Bunnell; Elizabeth A Chrischilles; Lindsay G Cowell; Mollie R Cummins; David A Hanauer; Miranda Higginbotham; Benjamin D Horne; Carol R Horowitz; Ravi Jhaveri; Susan Kim; Aaron Mishkin; Jennifer A Muszynski; Susanna Naggie; Nathan M Pajor; Anuradha Paranjape; Hayden T Schwenk; Marion R Sills; Yacob G Tedla; David A Williams; Charles Bailey,
042-877-757-386-932,Long-coronavirus disease among people living with HIV in western India: An observational study.,2021,England,Sanjay Pujari; Sunil Gaikwad; Abhishek Chitalikar; Digamber Dabhade; Kedar Joshi; Vivek Bele,HIV; India; long-COVID; prevalence; risk factors; long‐COVID
043-017-409-038-33X,Long COVID: Sufferers can take heart.,2024,Australia,Robert Tindle,
043-129-547-800-309,"Long COVID Treatment No Silver Bullets, Only a Few Bronze BBs",2026,,Robert  L Martin,
043-401-587-246-613,A Mixed-Methods Evaluation of a Virtual Rehabilitation Program for Self-Management in Post-COVID-19 Syndrome (Long COVID).,2022,Switzerland,Thuvia Flannery; Hannah Brady-Sawant; Rachel Tarrant; Jennifer Davison; Jenna Shardha; Stephen Halpin; Manoj Sivan; Denise Ross,Multi-Disciplinary Team; SARS-CoV-2 virus; Template Analysis; digital technology; post-acute sequalae of COVID-19; virtual course
043-441-507-311-697,Abstract We0034: Long COVID is Associated with Higher Incidences of Adverse Cardiovascular but not Renal Outcomes: A Global Retrospective Study,2025,United States,Akash Pradeep; Srija Manchkanti; Sanjana Dayal,
043-463-415-697-737,Exploring Online Peer Support Groups for Adults Experiencing Long COVID in the United Kingdom: Qualitative Interview Study.,2022,Canada,Hannah L S Day,COVID-19; digital health; digital peer support; internet; interview; long COVID; online health; online health communities; patient experience; peer support; post-COVID-19 syndrome; qualitative; self-help groups
043-479-478-662-562,Risk Factors and Management of Long COVID,2022,,Xiangmin Dong,Long COVID; Risk Factors; Managements
043-511-500-684-766,Recognition of Long-COVID-19 Patients in a Canadian Tertiary Hospital Setting: A Retrospective Analysis of Their Clinical and Laboratory Characteristics,2021,Switzerland,Robert A. Kozak; Susan M Armstrong; Elsa Salvant; Claudia Ritzker; Jordan J. Feld; Mia J. Biondi; Hubert Tsui,SARS-CoV-2; disease biomarkers; long-COVID; long-haulers; retrospective analysis
044-013-420-432-141,Therapies for Long COVID,2021,,Shamil Haroon; Melanie Calvert,
044-037-009-784-936,Colchicine use in post-covid syndrome (Long COVID),2026,,M.M. Yusupalieva; N.S. Burtsev,
044-112-287-882-250,Effect of Epipharyngeal Abrasive Therapy on Long COVID with Chronic Epipharyngitis,2022,,Hirobumi Ito,long COVID; EAT; EAT score; bleeding score; heart rate variability analysis PVFS: Post Viral Fatigue Syndrome; LC: long COVID; ME/CFS: Myalgic Encephalomyelitis/Chronic Fatigue
044-228-309-555-715,Long Covid collection,2022,,Robert Leaman,
044-338-416-831-719,Long Covid in the workplace,2023,,Adam Bernstein,
044-361-342-703-903,Prevalence and Correlates of Probable Anxiety and Depression among U.S. Individuals with Long COVID.,2025,Italy,Lanlan Chu; Isabel Honzay,
045-154-700-164-095,Long covid and disability,2024,Spain,D Suárez; E Pascual; J R Soravilla,Covid persistente; Disability; Disability scales; Discapacidad; Escalas de discapacidad; Long covid
045-628-094-389-607,"Long COVID Discourse in Canada, the United States, and Europe: Topic Modeling and Sentiment Analysis of Twitter Data (Preprint)",2024,,Ahmed Ghassan Tawfiq AbuRaed; Emil Azuma Prikryl; Giuseppe Carenini; Naveed Zafar Janjua,
045-832-225-333-848,AN EXPLORATORY FACTOR ANALYSIS OF LONG COVID,2023,,Joseph A. Dorri; Leonard A. Jason,Long COVID; Exploratory factor analysis; DSQ-COVID; Scale reliability; Case definition
045-929-872-500-017,"""PROSPECTIVE OBSERVATIONAL STUDY TO DETERMINE VARIOUS CLINICOBIOCHEMICAL PARAMETERS IN DEVELOPMENT OF LONG COVID""",2023,,Harikrishnan S; Rahul Sud,
046-247-154-918-863,"Long COVID: Current Status, Challenges and Future Directions",2024,,Liling Huang; Tingting Huang; Yongqian Liao; Shaoling He; Yanling Hu; Jiannan Lv; Yuluan Zhang; Chengqiong Xu,
046-314-491-697-35X,'Long COVID' syndrome.,2021,United Kingdom,Priyal Taribagil; Dean Creer; Hasan Tahir,COVID-19; respiratory medicine
046-354-169-859-222,"Psychologists' experiences and perspectives of adults with long-Covid and neurodiversity, including intellectual disabilities",2023,,Gregg H. Rawlings; Nigel Beail,
046-420-157-549-14X,Risk Factors and Clinical Presentations of Long COVID: A Retrospective Observational Propensity Score Matching Study,2025,,Lanre Peter Daodu; Yogini Raste; Francesca I.F. Arrigoni; Judith E. Allgrove; Reem Kayyali,
046-720-405-985-472,Inflammatory Modulation of Interleukin-17 and -23 in Long COVID Diabetic Patients,2024,,Esra Hassan,
046-845-346-973-971,The Conundrum of 'Long-COVID-19': A Narrative Review,2021,New Zealand,Mandeep Garg; Muniraju Maralakunte; Suruchi Garg; Sahajal Dhooria; Inderpaul Singh Sehgal; Ashu Seith Bhalla; Rajesh Vijayvergiya; Sandeep Grover; Vikas Bhatia; Priya Jagia; Ashish Bhalla; Vikas Suri; Manoj Kumar Goyal; Ritesh Agarwal; Goverdhan Dutt Puri; Manavjit Singh Sandhu,Long-COVID; Long-COVID-19; chronic COVID; ongoing symptomatic COVID-19; post-COVID; post-COVID-19 syndrome
047-076-004-025-587,Plasma cytokine levels reveal deficiencies in IL-8 and gamma interferon in Long-COVID.,2022,United States,Elizabeth S C P Williams; Thomas B Martins; Harry R Hill; Mayte Coiras; Kevin S Shah; Vicente Planelles; Adam M Spivak,Long-COVID; PASC; IL-8; IFNγ; Immune Exhaustion; SARS-CoV-2
047-109-550-057-859,Long COVID - One Year On.,2022,United States,Timothy Meagher,COVID-19; Long COVID; epidemiology; long term disability; pathophysiology; post COVID-19 condition; post-COVID syndrome; post-acute sequelae of SARS-CoV-2 infection; risk factors.
047-139-586-891-869,The history of chronic fatigue syndromes including ME/CFS and Long Covid,2025,,Gavin Spickett,
047-608-348-878-641,Long COVID and the kidney.,2025,United Kingdom,Vanja Ivković; Urmila Anandh; Samira Bell; Andreas Kronbichler; Maria Jose Soler; Annette Bruchfeld,
047-800-790-039-939,"Reassessment of persistent symptoms, self-reported COVID-19 infection and SARS-CoV-2 serology in the SAPRIS-SERO cohort: identifying possible sub-syndromes of Long Covid",2022,,Nicola Spiers,
047-986-473-670-741,Effects of Long Covid in Daily Life,2022,,Natalie Cohen,Long Covid; Sick leave; Daily life ;
048-234-636-508-955,Long COVID: long-term effects?,2021,United Kingdom,Alessandro Di Toro; Antonio Bozzani; Guido Tavazzi; Mario Urtis; Lorenzo Giuliani; Roberto Pizzoccheri; Flaminia Aliberti; Viola Fergnani; Eloisa Arbustini,COVID 19; Cardiovascular; Long COVID; Post-COVID SARS-CoV-2
048-743-281-869-764,The role of myocardial perfusion imaging in predicting myocardial ischemia in patients diagnosed with long COVID.,2023,Netherlands,Mustafa Erol; Hüseyin Tezcan; Mustafa Duran; Turgut Uygun; Ercan Kurtipek; Hasan Önner,COVID-19; Left ventricular function; Long COVID; Myocardial perfusion imaging
048-942-238-084-314,Stakeholder perceptions of Long COVID care in communities with less access to healthcare including FQHCs: a qualitative study,2025,,Cati Brown-Johnson; Cassandra Bragdon; Amogha Paleru; Tom Quach; Anna Sophia Lessios; Samantha Kling; Linda Geng,
049-234-103-736-302,Long COVID-19,2024,,Athar Memon,
049-426-916-993-10X,Long COVID in children.,2022,Canada,Ran D Goldman,
049-590-139-329-427,"Long COVID: Epidemiology, post-COVID-19 manifestations, possible mechanisms, treatment, and prevention strategies – A review",2024,,Robert C. Sizemore,
049-768-040-795-466,"Functional impact of long COVID among healthcare workers with comorbidities in Quebec, Canada",2025,,Sabine Isangwe; Denis Talbot; Marie-France Coutu; Elisabeth Canitrot; Simon Décary; Emilia Liana Falcone; Manale Ouakki; Philippe Latouche; Alain Piché; Marc Simard; Marianne Balem; Gaston De Serres; Sara Carazo,
049-824-993-961-324,Comparison of Balance Confidence in Older Adults With and Without Long-Haul COVID-19.,2025,United States,Mariel Relyea; Harsh H Buddhadev; Gordon R Chalmers; Steve Bennett,fall risk; long COVID-19; postacute COVID-19 syndrome
049-992-878-928-871,Long COVID: An overview.,2021,Netherlands,A.V. Raveendran; Rajeev Jayadevan; S. Sashidharan,Long COVID”; “Long haulers”; “Post COVID syndrome”
050-025-249-729-089,"The Association Between Self-Reported Long COVID Symptoms and COVID-19 Conspiracy Theories in Jordan, Kuwait, among Other Arab Countries",2024,,Malik Sallam; Kholoud Al-Mahzoum; Moudhi Ahmad Alenezi; Maryam Alsaeed; Fatmah Alsaeed; Noor Albayati; Sarah Alkhaldi; Rawan J. Obeidat; Muna Barakat,
050-432-551-863-420,Long Covid im logopädischen Alltag: Das Thema Long Covid wird für Praxen zunehmend relevant,2021,,Cordula Winterholler,
050-453-426-404-164,Defining the Subtypes of Long COVID and Risk Factors for Prolonged Disease: Population-Based Case-Crossover Study (Preprint),2023,,Skyler Resendez; Steven H Brown; Hugo Sebastian Ruiz Ayala; Prahalad Rangan; Jonathan Nebeker; Diane Montella; Peter L Elkin,
050-491-226-217-492,"Respiratory Manifestations in COVID-19 and ‘Long Covid’: The Morbidity, Complications and Sequelae",2021,,Vinod Nikhra,Long Covid; Long Haulers; Ground Glass Opacities; Covid Pneumonia; ARDS; Pulmonary Fibrosis; Covid Pulmonary Clinics; Heart Failure; Pulmonary Care Continuum; Holistic Care
051-029-333-400-547,Long COVID: Diagnosis and Treatment of Respiratory Syndrome in Post COVID-19 Conditions,2022,,Erlina Burhan,
051-107-251-351-973,Cognitive impairment in long-COVID.,2024,Hungary,Tozkir Julide; Turkmen Cigdem; Topcular Baris,COVID-19; brain fog; cognition; cognitive impairment; long-Covid
051-202-394-666-900,The Influence of SARS-CoV-2 Variants on Long COVID Symptoms and Recovery,2024,,Dr. Ethan Clarke; Dr. Ethan White,
051-744-435-065-551,Participants' Perspectives and Feedback on a Feasibility Trial of Acupuncture for Long COVID,2025,,Rachel Geyer; Aiko Bailey; Dan Cherkin; Jing Zhang; Janna Friedly; Nicole Gentile,
051-940-786-406-993,"ВОЗМОЖНЫЕ ПРИЧИНЫ РЕЗИДУАЛЬНЫХ ПСИХОНЕВРОЛОГИЧЕСКИХ НАРУШЕНИЙ ВСЛЕДСТВИЕ ПЕРЕНЕСЕННОЙ ИНФЕКЦИИ COVID-19 («LONG COVID», «LONG HAULERS COVID»), И ИХ КОРРЕКЦИЯ",2024,,И.М. Улюкин; А.А. Сечин; Е.С. Орлова,
051-948-150-435-154,5.O. Scientific session: Exploring incidence and access to care for migrants and ethnic minorities with long-COVID,2024,United Kingdom,Charles Agyemang Chair persons: Marie Nørredam,
052-204-671-625-230,The Effects of COVID-19 on Anxiety and Depressive Symptoms Among Chinese College Students: Chain Mediation of Three Long COVID-19 Symptoms.,2024,United States,Yuanyuan Deng; Yifan Tong; Yao Zhang; Mingfan Liu,Anxiety; depression; psychometrics; wellness
052-204-832-969-748,Cancer as a prospective sequela of long COVID-19.,2021,United States,Geetanjali Saini; Ritu Aneja,COVID-19 sequelae; SARS-CoV-2; cancer; health disparities; long COVID-19
052-680-071-793-895,Why the Patient-Made Term 'Long Covid' is needed [version 1;peer review: awaiting peer review],2020,,Elisa Perego; Felicity Callard; Laurie Stras; Barbara Melville-Jóhannesson; Rachel Pope; Nisreen A Alwan,
053-158-782-522-930,The rationale for the treatment of long-Covid symptoms - A cardiologist's view.,2022,Switzerland,Elisabeth Schieffer; Bernhard Schieffer,HDL - cholesterol; cholesterol; histamin challenge; kalkrein-kinin system; lipid – hybrid nanoparticles; long-Covid syndrome; renin-angiotensin system
053-305-355-726-645,Clinical and laboratory predictors of long-COVID in children: a single center retrospective study.,2022,Italy,D Güven; A D Buluş,
053-683-185-238-11X,Long COVID - An Early Perspective.,2021,United States,Timothy Meagher,COVID-19; long COVID; long haulers.; long term disability; post-COVID syndrome; long haulers
053-857-054-982-528,Pregnancy in a Post-Pandemic World: Long Covid and Post-Covid in Pregnancy,2025,,Najimudeen M; Hana W. Jun Chen; Myo Hla Myint; Winson S. M; Thavamani R. M; Anisah J; Myint Myint Maw,
053-895-825-620-451,Breakthrough Symptomatic COVID-19 Infections Leading to Long Covid: Report from Long Covid Facebook Group Poll,2021,,Daisy Massey; Diana Berrent; Harlan M. Krumholz,
054-023-663-728-408,Long-COVID syndrome and the lung.,2022,United Kingdom,Seamas C Donnelly,
054-122-389-460-157,Long-Term Manifestations of COVID-19: A Review.,2025,United States,Brianna Castellano; Courteney Castellano; Alexandria Sobczak; Deepesh Khanna,ace-2 receptors; cardiovascular manifestations of covid-19; coronavirus disease; covid-19; covid-19 symptoms; gastrointestinal manifestations of covid-19; long covid syndrome; long-term manifestation of covid-19; neurological manifestations of covid-19; respiratory manifestations of covid-19
054-130-245-584-820,"Race, Socioeconomic Status, and Long COVID",2023,,Patricia Louie; Cary Wu,
054-205-775-690-501,Long Covid.,2024,Netherlands,Asiya Kamber Zaidi; Puya Dehgani-Mobaraki,Long Covid; Long haulers; PASC; SARS-CoV-2 persistence
054-214-977-732-583,1.D. Workshop: Long COVID: A Myth or a reality?,2023,United Kingdom,EUPHA-PHMR Organised by: EUPHA-CHR; Nienke Schutte Chair persons: Sarah Cuschieri,
054-435-451-523-559,Molecular and Immunological Signatures of Long COVID: Implications for Diagnosis and Personalized Treatment Strategies,2025,,Jorine KN Hammink; Tim R van Elst,
054-493-953-493-703,P-1607. Long COVID and Cardiovascular Diseases Among US Adults: A Survey Study,2026,United States,Geoffrey Zhang; John Lin; Dang Nguyen; Madison S McCarthy; Thomas P Giordano,
054-988-084-077-410,Long COVID-19 Symptoms Remedied by Anti-Viral Treatment in Neurosurgical Patients,2023,United States,Robert Michael Beatty,
055-035-342-636-937,"Prevalence of symptoms, comorbidities, fibrin amyloid microclots and platelet pathology in individuals with Long COVID/ Post-Acute Sequelae of COVID-19 (PASC)",2022,,Etheresia Pretorius; Chantelle Venter; Gert Jacobus Laubscher; Maritha J. Kotze; Sunday Oladejo; Liam R. Watson; Kanshu Rajaratnam; Bruce W. Watson; Douglas B. Kell,
055-092-183-556-69X,Postinfection-post Vaccination Autoimmune Neural Long COVID-19: A Review,2022,,Ibrahim M. S. Shnawa,
055-095-705-962-614,Long COVID Toolkit,2025,,Maryangela Ohanu,
055-364-110-131-355,Long Covid: is it a Fact?,2022,,Nahla AM Hamed,
056-180-491-183-318,COVID-19 Booster Vaccination Status and Long COVID in the United States: A Nationally Representative Cross-Sectional Study.,2024,Switzerland,Jamie L Romeiser; Kelsey Schoeneck,COVID-19; booster vaccination; long COVID; severe infection; vaccines
056-319-496-567-437,Long Covid,2022,,Eve Stockhammer,
056-603-646-781-913,COVID-19 und Long-COVID,2021,,,
056-678-436-824-491,The Use of Nirmatrelvir-ritonavir in a Case of Breakthrough Long COVID,2023,,Linda N. Geng; Hector F. Bonilla; Robert W. Shafer; Mitchell G. Miglis; Phillip C. Yang,Long COVID; PASC; Post-COVID; Antiviral; Paxlovid
056-994-329-700-682,"Table 2: Baseline demographics of study populations comparing between non-long COVID and long COVID cases and variables associated with the risk of long COVID status (
                      <i>n</i>
                       = 247).",,,,
057-135-685-958-162,"Long covid: ""Holistic"" approach is best, given range of symptoms, say researchers.",2022,United Kingdom,Gareth Iacobucci,
057-302-228-896-184,"Long-Haul COVID-19: Putative Pathophysiology, Risk Factors, and Treatments",2020,,Shin Jie Yong,
057-483-857-485-113,"Persisting Shadows: Unraveling the Impact of Long COVID-19 on Respiratory, Cardiovascular, and Nervous Systems.",2023,Italy,Christina-Michailia Sideratou; Christos Papaneophytou,ACE-2; COVID-19; SARS-CoV-2; cytokine storm; long-COVID; post-COVID
057-586-733-664-509,Long COVID in Hospitalized COVID-19 Patients: A Retrospective Cohort Study.,2022,Iran,Nese Yaksi; Ayse Gulsen Teker; Ayfer Imre,COVID-19; Hospital; Long COVID; Symptom; Turkey
057-610-742-111-946,"Breathless, without strength, forgetful: Long Covid, the pandemic within the pandemic.",2024,Italy,Dagmar Rinnenburger,
057-951-322-465-911,Brain fog as a Long-term Sequela of COVID-19.,2022,Switzerland,Ali Nouraeinejad,Brain fog; COVID-19; Cognitive impairment; Long COVID; Pathophysiology; SARS-CoV-2; Systemic inflammation; Virus infection
058-260-089-463-461,Long COVID and rehabilitation.,2023,Hong Kong,Hung-Jui Chuang; Chia-Wei Lin; Ming-Yen Hsiao; Tyng-Guey Wang; Huey-Wen Liang,Activities of daily living; COVID-19; Long COVID; Rehabilitation
058-481-572-069-877,"Review of: ""Candida and Long Covid""",2024,,Julio-Alberto Diaz-Ramos,
058-484-946-490-599,"Empowering Recovery: Knowledge, Attitude, and Experience among the Physiotherapy Fraternity for Long COVID Rehabilitation: A Cross-sectional Study",2024,,Amal Saeed Alshaali; Ramprasad Muthukrishnan; Watson Arulsingh D.R; Nada Alnuaimi,
058-490-376-985-565,Generalization of Long COVID,2023,,,
058-535-149-672-653,The prevalence and nature of communication and swallowing difficulties among adults with long-COVID,2023,,Órla Gilheaney; Aoife McIntyre; Kathleen McTiernan,
058-595-834-455-029,Supporting patients with long COVID return to work.,2021,United Kingdom,Ira Madan; Tracy A Briggs; Carolyn Chew-Graham,
058-771-776-558-512,Sleep and long COVID.,2025,United States,Amnuay Kleebayoon; Viroj Wiwanitkit,
058-783-831-078-545,"Two months follow-up of patients with non-critical COVID-19 in Cape Town, South Africa.",2022,South Africa,Andrea S Mendelsohn; Nikhil Nath; Angela De Sá; Klaus B Von Pressentin,South Africa; long COVID; mild COVID-19; primary health care; rehabilitation
058-816-217-032-633,Antioxidants and Long Covid,2022,,Patrick Chambers,Warburg e ect; oxidative stress; magnesuria; in ammasome; butyrate
058-828-865-992-104,Long COVID and the Brain: A Retrospective Study of the Neuropsychological Manifestations of Long COVID,2025,,Alexandria N. Plant; Ameer Z. Rasheed; Mira Hasan,
059-062-608-450-38X,Quantifying the ongoing epidemic of disability after covid-19 in the UK population aged under 35 years; secondary analysis of the ONS Infection Survey,2021,,Nicola Spiers,
059-341-090-609-203,Incidence of Long COVID Diagnoses in 3.6 Million U.S. Medicare Beneficiaries With COVID-19.,2025,United States,Yasin Abul; Daniel A Harris; Preeti Chachlani; Kaleen N Hayes; Andrew R Zullo; Vincent Mor; Stefan Gravenstein,COVID-19; COVID-19 vaccines; Long COVID; Medicare; Older Adults
059-348-406-120-837,"Long COVID Treatment No Silver Bullets, Only a Few Bronze BBs",2025,,Robert Martin,
059-368-102-746-812,"Long Covid active case finding study protocol: A co-produced community-based pilot within the STIMULATE-ICP study (Symptoms, Trajectory, Inequalities and Management: Understanding Long-COVID to Address and Transform Existing Integrated Care Pathways).",2023,United States,Nisreen A Alwan; Donna Clutterbuck; Marija Pantelic; Jasmine Hayer; Lere Fisher; Lyth Hishmeh; Melissa Heightman; Gail Allsopp; Dan Wootton; Asad Khan; Claire Hastie; Monique Jackson; Clare Rayner; Darren Brown; Emily Parrett; Geraint Jones; Kerry Smith; Rowan Clarke; Sammie Mcfarland; Mark Gabbay; Amitava Banerjee; null null,
059-450-439-967-066,Genetic Risk Factors for Severe and Fatigue Dominant Long COVID and Commonalities with ME/CFS Identified by Combinatorial Analysis,2023,,Krystyna Taylor; Matthew Pearson; Sayoni Das; Jason Sardell; Karolina Chocian; Stephen Gardner,
059-548-972-852-254,Chronic COVID Syndrome: Need for an appropriate medical terminology for Long-COVID and COVID Long-Haulers.,2021,United States,Abdul Mannan Baig,
059-619-398-893-398,"The Effects of Probiotics, Prebiotics, and Synbiotics on Gut Microbiota Composition in Long COVID: A Systematic Review and Meta-Analysis",2025,,Alifa Sya'bani,
059-706-168-218-798,The long covid dividend,2022,United States,,
059-716-651-378-213,"Long COVID in Children: United States, 2022.",2023,United States,Anjel Vahratian; Dzifa Adjaye-Gbewonyo; Jin-Mann S Lin; Sharon Saydah,
059-861-268-945-773,Long-COVID symptom risk among COVID-19 patients and its relationship to COVID-19 vaccination; a prospective cohort study,2022,,Bayan Abu Hamdah; Zaher Nazzal,
059-886-518-662-233,Penalized regression with negative-unlabeled data: an approach to developing a Long COVID research index.,2025,United Kingdom,Harrison T Reeder; Tanayott Thaweethai; Andrea S Foulkes,COVID-19; Feature selection; Long COVID; Negative-unlabeled data; Penalized regression; SARS-CoV-2
059-897-679-008-711,Preliminary Report on Residual Lung Damage in Long COVID-19 Using AD-cSVF In Clinical Trial NCT# 04326036,2023,,Robert Alexander,
059-930-601-445-112,Meridian Palpation Treatment for COVID-19 and Long COVID Conditions,2023,,,
059-992-589-663-283,Long-COVID-19 Symptoms after Infection in COVID Long-Haulers,2021,,Stefania Pellino; Margherita Luciano; Rosamaria Luciano; Erika Mancini; Maria Concetta Conte; Gennaro Volpe; Tommaso Zerella,COVID-19; Long-COVID; Long-Haulers
060-062-180-575-573,Understanding the #longCOVID and #longhaulers Conversation on Twitter: Multimethod Study (Preprint),2021,,Sara Santarossa; Ashley Rapp; Saily Sardinas; Janine Hussein; Alex Ramirez; Andrea E Cassidy-Bushrow; Philip Cheng; Eunice Yu,
060-291-388-470-235,Long COVID-19,2023,,Leonor Chacin Bonilla,
060-332-790-839-908,Long COVID syndrome – general aspects,2021,,Adriana Ticărău; Bucureşti Universitatea de Medicină şi Farmacie „Carol Davila“; Mihaela Adela Iancu; Dumitru Matei; Bucureşti Institutul Naţional pentru Sănătatea Mamei şi Copilului „Alessandrescu-Rusescu“,SARS-CoV-2; COVID-19; long COVID syndrome SARS-CoV-2; COVID-19; sindromul Long COVID
060-507-686-142-168,"Long covid could be four different syndromes, review suggests",2020,United Kingdom,Elisabeth Mahase,
060-534-990-293-634,A Review of Long COVID With a Special Focus on Its Cardiovascular Manifestations.,2022,United States,Elamein Yousif; Sarah Premraj,cardio vascular disease; covid-19; long term sequelae; long-covid; post-acute sequelae of covid-19
060-959-504-334-984,Longitudinal and socio-demographic trends in Long COVID and associated activity limitations: Results from the New York City Community Health Survey 2021 – 2023,2025,,Samuel E. Packard; Amanda Lans; Yang Shi; Shadi Chamany,
061-196-991-534-249,The Impact of COVID-19 Vaccines on Long COVID Symptoms: A Multinomial Propensity Score Weighting Analysis,2025,,Lanre Peter Daodu; Yogini Raste; Judith E. Allgrove; Francesca I.F. Arrigoni; Reem Kayyali,
061-903-771-270-86X,Post-COVID-19 Syndrome or Long COVID: From Patient Symptoms to Current Pathophysiological Hypotheses,2021,,Anna Maria Peluso; Oriana Infante; Ersilia Arvonio; Emanuele Durante-Mangoni,Post-COVID-19 syndrome; Long COVID; SARS-CoV-2
062-011-923-374-004,Long Covid Defined.,2024,United States,E Wesley Ely; Lisa M Brown; Harvey V Fineberg; null null,
062-075-749-718-299,Long COVID: What is it? Who has it? What Are Treatment Resources in Missouri?,2025,United States,Abby L Cheng; Ryan Barker; David von Nordheim; Amy McQueen,Long COVID; Postacute sequelae of COVID (PASC); SARS-CoV-2; assessment; management
062-113-493-594-070,A population data-driven approach to identifying 'Long COVID' cases in support of diagnosis and treatment.,2022,,Jennifer Enns; Alan Katz; Marina Yogendran; Marcelo Urquia; Saman Muthukumarana; Surani Matharaarachchi; Alexander Singer; Nathan Nickel; Leona Star; Teresa Cavett; Yoav Keynan; Lisa Lix; Diana Sanchez-Ramirez,
062-130-921-255-847,The Social Aspects and Impacts of Long COVID,2025,,Deborah Lupton,
062-268-502-709-21X,The effect of COVID-19 on long memory in returns and volatility of cryptocurrency and stock markets,2021,United Kingdom,Salim Lahmiri; Stelios Bekiros,COVID-19; Cryptocurrency; Long-memory; Pandemic; Returns; Stock market; Volatility
062-389-687-034-95X,IMPACT OF COVID-19 PANDEMIC ON QUALITY OF LIFE AND EFFECTING FACTORS AMONG ADULTS WITH LONG COVID: FAMILY HEALTH CENTERS BASED STUDY,2024,,GÜLAY YILMAZEL; Emre KELES,
063-589-830-957-590,A nationwide study of risk factors for long COVID and its economic and mental health consequences in the United States.,2025,England,Daniel Kim,Epidemiology; Public health
063-637-165-603-04X,Inclusion of Long Covid patients in the care trajectory post-Covid-19: evidence from Belgium,2024,United Kingdom,S Moreels; R De Schreye; S Bensemmane,
063-872-419-300-613,Latest Research in Post-COVID (Long COVID),2025,,,
064-062-573-064-067,A Cytokine-based model for the pathophysiology of Long COVID symptoms,2020,,Russell N Low; Ryan J Low; Athena Akrami,COVID-19; Cytokines; Long COVID; Long Hauler; Neuroinflammation
064-191-369-103-381,Long COVID Perspectives,2026,,Elisa Perego,
064-248-218-416-14X,"The pivotal role of central sensitization in long COVID, fibromyalgia and myalgic encephalomyelitis/chronic fatigue syndrome.",2025,United Kingdom,Don L Goldenberg,Long COVID; brain imaging; central sensitization; chronic; fibromyalgia; myalgic encephalomyelitis/chronic fatigue syndrome; widespread pain
064-568-302-104-627,Acupoint stimulation for long COVID: A promising intervention:.,2023,Netherlands,Bo-Wen Feng; Pei-Jing Rong,Acupoint stimulation; Long COVID; SARS-CoV-2; Sequelae; novel coronavirus pneumonia
064-732-935-732-940,Characterizing Long COVID: Deep Phenotype of a Complex Condition [preprint],2021,,Rachel R Deer; Feifan Liu; Melissa Haendel; Peter N. Robinson,
064-809-685-048-750,Assessing the Continuing Impacts of Long COVID: 2023 AARP Focus Groups Among Adults Ages 40 and Older,2024,,Laura Mehegan,
064-853-904-037-217,Do vaccination is an effective therapeutic option for long COVID?,2022,,Jonnalagadda Vihari; Neerukonda Sriteja; Brijeshraj Swain; Adurty Aditya,
065-448-591-397-955,Employers must provide better support to workers with long covid.,2023,United Kingdom,S Thompson,
065-452-028-816-147,The Effect of Long-Haul COVID Towards Domains of The Health Related Quality of Life Among Recovered Hospitalized Patients,2022,,Indang Trihandini; Manendra Muhtar; Dea Allan Karunia Sakti; Chintya Putri Erlianti,Long-Haul COVID; WHOQOL-BREF Domains; Health-Related Quality of Life (HRQOL)
065-543-501-457-420,Acute COVID-19 Syndrome Predicts Severe Long COVID-19: An Observational Study.,2022,United States,Antonio S Menezes; Silvia M Botelho; Luciana R Santos; Aline L Rezende,laboratory findings; long covid-19; observational study; predictors; sars-cov-2.
065-701-545-287-321,"""The idea of rehabilitation will have to be completely rethought for this illness"" - Qualitative results of an online survey on patients' experiences with inpatient rehabilitation for post COVID-19 condition (long COVID)",2024,Netherlands,Sabine Hammer; Julia Schmidt; Annett Conrad; Carmen Nos; Corinna Gellert; Claudia Ellert; Ute Nuding; Ilse Pochaba,Long COVID; Medical rehabilitation; Medizinische Rehabilitation; Patient perspectives; Patientenperspektiven; Post-COVID syndrome; Post-COVID-Syndrom; Qualitative Forschung; Qualitative research; Reha-Erfolg; Rehabilitation success
065-823-836-586-183,Komorbid Diabetes Melitus Bukan Merupakan Faktor Risiko Long COVID-19,2023,,Muhamad Rizky Pratama Kurniawan Rizky; Lelly Yuniarti Lelly; Umar Islami Umar,
