Lens ID,Title,Publication Year,Abstract
023-219-733-289-237,"Growth after late-preterm birth and adult cognitive, academic, and mental health outcomes.",2017,"Late-preterm birth (at 340⁄7–366⁄7 wk gestation) increases the risk of early growth faltering, poorer neurocognitive functioning, and lower socio-economic attainment. Among early-preterm individuals, faster early growth benefits neurodevelopment, but it remains unknown whether these benefits extend to late-preterm individuals. In 108 late-preterm individuals, we examined if weight, head, or length growth between birth, 5 and 20 months’ corrected age, and 56 mo, predicted grade point average and special education in comprehensive school, or neurocognitive abilities and psychiatric diagnoses/symptoms at 24–26 y of age. For every 1 SD faster weight and head growth from birth to 5 mo, and head growth from 5 to 20 mo, participants had 0.19–0.41 SD units higher IQ, executive functioning score, and grade point average (95% confidence intervals (CI) 0.002–0.59 SD), and lower odds of special education (odds ratio (OR) = 0.49–0.59, 95% CIs 0.28–0.97), after adjusting for sex, gestational age, follow-up age, and parental education. Faster head growth from 20 to 56 mo was associated with less internalizing problems; otherwise we found no consistent associations with mental health outcomes. Faster growth during the critical early period after late-preterm birth is associated with better adult neurocognitive functioning, but not consistently with mental health outcomes."
023-251-996-346-483,“Just Good Different Things” Specific Accommodations Families Make to Positively Adapt to Their Children With Developmental Disabilities,2009,Fifteen parents and two grandparents of children with developmental disabilities (DD) were interviewed to discover common themes regarding specific ways in which they devised positive adaptations t...
023-368-443-186-642,A Comparative Study of Special Education Prevalence Rates by Disability Categories Between Taiwan and Wisconsin,2009,"Using 2007-08 special education child counts data from Wisconsin Department of Public Instruction and Taiwan’s Ministry of Education, this study compares prevalence rates by disability categories. Wisconsin’s prevalence rate of 12.55 is found 5.75 times greater than that of Taiwan. The greatest discrepancy is revealed in the area of Speech and Language Impairment. In other Category B areas identified by the Organization for Economic Cooperation and Development report such as Learning Disabilities and Emotional Behavior Disability, Wisconsin also reports significantly higher prevalence rates. The findings were discussed in relation to different cultural, linguistic, socio-economical and philosophical perspectives and future comparability due to the implementation of Response-to-Intervention model for LD eligibility determination in the U.S."
023-748-201-412-840,The Early Screening Project for Young Children with Behavior Problems,1995,"Behavioral problems among preschool-age children have become a priority for early childhood educators. Factors such as the exponential rise in childcare utilization and increasing poverty and incidences of child abuse have made the establishment of procedures for the early identification and remediation of problem behaviors among preschool children imperative. Screening is an initial step in identifying those who exhibit a certain disorder, problem, or disability. The goal of the current research was to study the effectiveness of a functional screening and identification system for behavior problems among preschool children ages 3 to 5 years. This research focused on the development of the Early Screening Project (ESP), a multiple-gated screening system adapted from the Systematic Screening for Behavior Disorders. Data were collected over 32 months, from September 1991 through June 1994. Participants were 2,853 children, ages 3 to 6 years, enrolled in typical and special education preschool and kindergart..."
023-798-768-559-099,Educational Disabilities Among Children Born With Neonatal Abstinence Syndrome,2018,"BACKGROUND: Neonatal abstinence syndrome (NAS) is a postnatal drug withdrawal syndrome that can occur after intrauterine opioid exposure. Adverse neurobehavioral outcomes have been documented in infants with NAS; however, educational outcomes have not been thoroughly examined. We analyzed Tennessee data to understand the need for special educational services among infants who are born with NAS. METHODS: By using Tennessee Medicaid and birth certificate data, infants who were born in Tennessee between 2008 and 2011 with a history of NAS were matched (1:3) to infants who were born during the same period without a history of NAS. Groups were matched on the basis of sex, race and/or ethnicity, age, birth region of residence, and Medicaid enrollment status. Data were linked to Tennessee Department of Education special education data during early childhood (3–8 years of age). Conditional multivariable logistic regression was used to assess associations between NAS and selected special education outcomes. RESULTS: A total of 1815 children with a history of NAS and 5441 children without NAS were assessed. Children with NAS were significantly more likely to be referred for a disability evaluation (351 of 1815 [19.3%] vs 745 of 5441 [13.7%]; P CONCLUSIONS: Results of this novel analysis linking health and education data revealed that children with a history of NAS were significantly more likely to have a subsequent educational disability."
023-847-761-042-511,Childcare Type and Quality among Subsidy Recipients with and without Special Needs.,2018,"Low-income children, particularly those with special needs, may have limited access to high quality early care experiences. Child care subsidies are intended to increase families' access to quality care, but little is known about subsidy use by children with special needs. Using a nationally representative sample of 4,000 young children who participated in the Early Childhood Longitudinal Study - Birth Cohort, we examined the types and quality of childcare received by children with and without special needs who came from subsidy eligible families. We also investigated the extent to which subsidy use and child and family sociodemographic characteristics predicted care type and quality among young children with special needs who used childcare subsidies at nine months, two years, and four years. Findings indicated that subsidies increased the use of non-parental care, mainly center-based care, as well as home-based care to a lesser extent among children with special needs relative to peers without special needs and relative to peers with special needs who did not use subsidies. However, use of subsidy did not consistently result in families with children with special needs accessing higher quality care. Sociodemographic characteristics of children, families and their context were differentially predictive of type and quality care. We discuss implications for practice and policy to foster quality early care and education of young children with special needs who are receiving subsidies."
023-925-288-518-668,Content analysis of Portuguese individualized education programmes for young children with autism using the ICF-CY framework,2012,"This study analysed 33 Individualised Education Programmes developed for pre-schoolers with autism, attending inclusive special education services in North Portugal, based on the International Classification of Functioning, Disability and Health for Children and Youth. The study identified dimensions of functioning addressed in the Individualised Education Programs and the correspondence between the assessment data on children's functionality and the intervention goals. The extent, to which the functioning dimensions overlap with the dimensions considered as essential to the assessment-intervention of children with autism, was also analysed. Results illustrate: the majority of domains addressed in the Portuguese Individualised Education Programmes relates to Activities and Participation; few domains are included both at the assessment and at the intervention level; Environmental Factors are not included in intervention goals; on average, the Individualised Education Programmes included only 32.8% of the d..."
023-957-142-849-68X,Social Networks of Children with Developmental Language Disorder in Inclusive Preschool Programs.,2020,"This study takes an ecological approach to examine how children with developmental language disorder (DLD) interact with their classmates within early childhood special education (ECSE) inclusive classrooms. Participants were 124 children with DLD, 56 children with other disabilities, and 247 typically developing children (Mage = 52.42 months, SD = 6.27) from 56 ECSE inclusive classrooms. Results of social network analysis showed that children with DLD had significantly smaller peer social networks and were more likely to be isolated. Children tended to interact with peers with the same DLD status. These effects of children's DLD status were above and beyond the effects of children's social pragmatics skills."
024-164-949-193-753,Adolescents with Disabilities,2016,"Adolescents with disabilities face many challenges common to their typically developing peers. However, the ways that they resolve them may differ. The focus of this narrative overview was to summarize results from the disabilities in adolescence literature, highlight common research directions, evaluate the overall big picture of this literature, and draw conclusions based on general interpretations. Evidence suggests that the literature in this field of study is lacking. Suggestions for improvement include increasing the number of studies that focus specifically on adolescence across the various types of disabilities, establishing a theoretical base to anchor research, forming cohesion across disabilities among researchers, and taking a comprehensive approach to intervention studies. By addressing these issues in future research, scholarly knowledge will be increased, but more importantly, the lives of young people with disabilities can be greatly enhanced."
024-208-919-457-895,Are we Adequately Preparing Teachers to Partner with Families,2012,"Family-centered practice is accepted as best and effective practice by early childhood professional organizations including the National Association for the Education of Young Children, The Council for Exceptional Children’s Division of Early Childhood, and The National Board of Professional Teaching Standards. The main objective of family-centered practice is the development of a reciprocal family partnership in order to provide effective early childhood services to young children and families. The literature reveals that there are issues in early childhood teacher preparation in terms of the level of emphasis on family-centered practice, the implementation of a standalone course versus infusion of family-centered content throughout coursework, and the linkage of coursework to practical experience. Teacher perceptions of families have a great deal of influence on the nature of relationships between teachers and families. This literature review illuminates the necessity for teacher preparation programs and school administration to regularly review programming to make certain that students and practicing teachers are adequately prepared to efficiently serve young children in the context of their families."
024-406-218-085-934,"Move Together, Communicate Together: Supporting Preschoolers’ Communication Skills Through Physical Activities",2019,"During the preschool years, children develop several inter-related skills including motor skills and communication skills. In this article, we highlight several communication teaching strategies and describe how practitioners can promote communication skills of preschoolers with disabilities by providing them with multiple opportunities to practice these skills during motor activities. The following strategies are described: arrange the physical environment, model motor vocabulary, ask motor related questions, use a fill in the blank strategy, and reinforce/prompt child communication. The use of these strategies during large and small group motor activities is illustrated with vignettes. We present strategies for creating an engaging environment and providing meaningful opportunities so that children can learn important communication skills while also developing critical motor skills."
024-537-978-804-911,TRIAL-BASED FUNCTIONAL ANALYSIS AND FUNCTIONAL COMMUNICATION TRAINING IN AN EARLY CHILDHOOD SETTING,2012,"Problem behavior is common in early childhood special education classrooms. Functional communication training (FCT; Carr & Durand, 1985) may reduce problem behavior but requires identification of its function. The trial-based functional analysis (FA) is a method that can be used to identify problem behavior function in schools. We conducted trial-based FAs and FCT with 3 children in an early childhood special education setting. All trial-based FAs resulted in identification of behavioral functions, and subsequent FCT led to reductions in problem behavior and increases in communication."
024-619-991-888-565,Technology-Enhanced Dialogic Reading Experiences for Children With Developmental Disabilities:,2021,This manuscript describes an early childhood educator working collaboratively with a speech language pathologist and using an augmentative and alternative (AAC) device (iPad™ application) to label ...
024-660-426-876-339,"Burnout, compassion fatigue and professional resilience in caregivers of children with disabilities in Ukraine",2018,"The disability and professional caregiving literature includes little descriptive data on the professional quality of life of the caregivers of individuals with emotional, intellectual, and physica..."
024-677-436-598-695,Strengths-Based Child Portfolios: A Professional Development Activity to Alter Perspectives of Children with Special Needs,2001,"Attitudes and perspectives have been identified as potential barriers to successful inclusion of young children with disabilities in community-based settings. Professional development activities are frequently suggested as a strategy for influencing caregivers' attitudes and perspectives, but few studies have identified successful ways to positively affect perspectives about children with disabilities. A total of 48 child portfolio projects were completed by 65 urban, infant-toddler childcare staff members who participated in a professional development program designed to increase the quality of infant and toddler childcare, including care for children with special needs, developmental delays, or identified disabilities. Training program participants wrote a one-page story about a child they selected to participate with them in an out-of-class portfolio project. A second story was written following completion of the project. These pre- and postproject stories were rated to determine the extent to which st..."
024-889-355-458-476,Education reforms for inclusion? Interrogating policy-practice disjunctions in early childhood education in Bulgaria,2020,"This article examines how early childhood educators, as policy implementers, perceive reforms in Bulgaria’s education system that occurred between 2008 and 2018. Both Roma and non-Roma educators pa..."
024-890-530-733-518,The Iterative Use of Single Case Research Designs to Advance the Science of EI/ECSE,2016,"Research in early intervention/early childhood special education (EI/ECSE) is focused on identifying effective practices related to positive outcomes for young children with disabilities and their families. Individual responses to evidence-based practices are often variable, and non-responders are common. Single case research (SCR) might be particularly well suited to examining differences across participants given the dynamic nature of the methodology. The repeated measurement of behaviors and visual analysis of subsequent data allow researchers to continually monitor behavior and make necessary adaptations to ensure positive child outcomes. The purpose of this article is to illustrate the dynamic nature of single case research design (SCRD) and the utility of SCRD in the iterative development of adaptive evidence-based practices using three examples of SCR studies. Implications for research and practice in EI/ECSE are discussed."
024-907-672-573-175,"Disproportionality and Learning Disabilities: Parsing Apart Race, Socioeconomic Status, and Language",2010,"The disproportionate identification of learning disabilities among certain sociodemographic subgroups, typically groups that are already disadvantaged, is perceived as a persistent problem within the education system. The academic and social experiences of students who are misidentified with a learning disability may be severely restricted, whereas students with a learning disability who are never identified are less likely to receive the accommodations and modifications necessary to learn at their maximum potential. The authors use the Education Longitudinal Study of 2002 to describe national patterns in learning disability identification. Results indicate that sociodemographic characteristics are predictive of identification with a learning disability. Although some conventional areas of disproportionality are confirmed (males and language minorities), differences in socioeconomic status entirely account for African American and Hispanic disproportionality. The discrepancy between the results of bivariate and multivariate analyses confirms the importance of employing multivariate multilevel models in the investigation of disproportionality."
024-924-916-826-453,Evaluation of the Feasibility and Perceived Value of Integrating Learn the Signs. Act Early. Developmental Monitoring Resources in Early Head Start,2021,"Many children with developmental disabilities are not identified before age 3 years of age, preventing them from being able to fully benefit from early intervention services. Early childhood educators, particularly those in Early Head Start (EHS) programs, are important partners in the early identification of children with developmental delays. Learn the Signs. Act Early. (LTSAE) is a program of the U.S. Centers for Disease Control and Prevention that provides free developmental monitoring resources to increase the early identification of children with developmental delays and disabilities. This paper presents findings from the first evaluation of the use of LTSAE resources in EHS, which was conducted across four states and 11 EHS programs from fall 2018 through spring 2019. Surveys (n = 448) and interviews (n = 39) with EHS management, staff, and parents indicated that LTSAE resources were valued and accepted, and their use in EHS considered feasible. Importantly, families and staff reported the LTSAE materials provided shared language to help them more effectively discuss development. These findings inform EHS and other early education programs that wish to enhance developmental monitoring, screening, and referral."
025-114-403-323-684,An Exploration of Service Delivery in Early Intervention over the Last Two Decades,2016,"Throughout much of the 1990’s in the United States, early intervention services were often provided through a center-based therapeutic or medical model. However, today we recognize the natural environment is typically the most developmentally appropriate setting for all children to learn. Therefore, programs now aim to serve children in their homes, child care settings or places they spend the majority of their days. This investigation will examine current studies and literaturepertaining to early intervention service delivery, and compare the findings to similar studies conducted over the last two decades. By getting a clearer perspective on how service delivery has changed and evolved over the years, we can work toward meeting each family’s unique needs."
025-438-095-999-13X,Risk Factors Predictive of the Problem Behavior of Children at Risk for Emotional and Behavioral Disorders,2007,"Logistic regression analyses were used to establish the most robust set of risk factors that would best predict borderline/clinical levels of problem behavior (i.e., a t score at or above 60 on the Child Behavior Checklist Total Problem scale) of kindergarten and first-grade children at risk for emotional and behavioral disorders. Results showed that among the 11 risk factor domains considered, 5 were most predictive of borderline/clinical levels of problem behavior: externalizing behavior pattern, internalizing behavior pattern, early childhood child maladjustment, family functioning, and maternal depression. Within these 5 domains, the most robust set of individual risk factors were difficult child (i.e., temperament, parent management skills, interaction between temperament and parent management skills), destroys own toys, and maternal depression. Results, limitations, future research, and implications are discussed."
025-496-441-555-001,Young Children's Attitudes Toward the Disabled: A Classroom Intervention Using Children's Literature,1996,"With the increasing inclusion of special needs children in regular classrooms, experiences which encourage positive attitudes toward the disabled are essential. The purpose of this project was: 1) to examine the thinking and attitudes of young children regarding the capabilities of disabled children and the potential for friendship and 2) to assess the effectiveness of children's literature and related activities in influencing attitudes toward the disabled. Results suggested that children's attitudes were generally positive and realistic regarding the capabilities and the potential for friendship with the disabled. The use of selected children's books and book related activities positively influenced children's attitudes."
025-538-039-586-945,Parent Therapist Partnership Survey - Illinois Early Childhood Special Education,2026,"This study seeks to examine the early childhood special education (ECSE) therapy involvement experiences, needs, and recommendations of parents and caregivers, focusing particularly on caregivers of color (referred to as parents), whose children with developmental disabilities recently transitioned into ECSE. This research uses focus groups and surveys to answer four questions: (1) What are parents of colors' experiences participating in their children’s ECSE therapies? (2) What barriers do parents experience that impact their ability to be involved in their child’s ECSE therapies? (3) What recommendations do parents have for providers and schools to improve opportunities for parents to be involved in their child’s ECSE therapies? And (4) How do parent and child demographic factors, identities, and resources influence parents’ ability to participate in their child's ECSE therapies? These findings may inform the development of an equity-focused intervention that increases parents’ ability to participate in ECSE therapies. Aim 1 seeks to conduct focus groups, led by parents with lived experience, to explore the nuances of interactions with ECSE therapists as well as to identify barriers to and recommendations for increased parent involvement. Aim 2 seeks to collect survey data from focus group participants to provide complementary insight into participants’ demographic factors, their child’s needs, their experiences of caring for their child with a developmental disability, and their child’s service access. Synthesized findings provide nuanced insights into parents of colors' experiences with ECSE therapies and identify actionable steps to improve quality of care delivered to children and their parents in ECSE settings."
025-661-937-612-352,Using Masked Raters to Evaluate Social Validity of a Parent-Implemented Communication Intervention,,Interventions designed for children with disabilities and their families should be socially valid. Parent-implemented Communication Strategies-Storybook (PiCSS) is an intervention package designed ...
025-756-255-290-255,Assessment of reinforcer preference in multi-handicapped students,1992,"This study investigated the use of electronic adaptive devices (switches) with students with severe multiple handicaps. In Experiment I, studients were assessed on “contingency awareness” by evaluating their responding to feedback from toys contingent upon switch activation. In Experiment II, students were given an opportunity to select preferred modalities of feedback contingent upon switch activation (i.e., reinforcer preference testing). The results of Experiment II showed that students with multiple handicaps can learn to use switches to control stimulus presentations and to identify reinforcers. These finding are discussed in terms of their classroom applications and implications."
026-059-913-481-161,"Somewhere, Out There: Preschool Children with Hearing Impairment and Learning Disabilities",1992,"In recent years, there has been increasing concern about the identification of, and provision of appropriate services to, children with hearing impairment and learning disabilities (HILD). Although at present it is unclear just what percentage of children with HI also might have educationally significant learning problems, results from limited survey research within the sparse literature on students with multiple disabilities and HI (MDHI) provide evidence that such a group exists and that a significant portion of the school-age population with HI falls within the HILD subgroup. For children with hearing loss, the preschool period offers a prime opportunity for educationally significant problems in addition to impaired hearing, such as learning disabilities, to be identified and for an educational plan to be implemented. This article presents information on the characteristic etiologies, estimated prevalence, aspects of identification and educational programming, and an agenda for practice and research wi..."
026-134-449-890-945,Co-teachers’ attitudes towards planning and instructional activities for students with disabilities,2016,"AbstractCo-teaching is considered a means for improving the inclusion of students with disabilities in mainstream classrooms. This research employs a mixed methods research approach to investigate teachers’ attitudes towards co-teaching practices for students with disabilities in Greek schools. In total, 400 co-teachers completed a survey questionnaire and 10 of them participated in semi-structured interviews, in which they reported co-teaching practices with regard to planning and evaluation activities, co-teaching models, content of teaching and instructional grouping arrangements. The participants stated that the time they spend to plan and evaluate together is insufficient and that they need more time to perform these activities. In addition, co-teachers were found to use their limited time to separate rather than to co-plan or evaluate co-teaching activities. They reported inconsistencies in the rating of co-teaching activities during planning and evaluation. Even though co-teachers approved a specif..."
026-618-571-760-934,The Early Education of Handicapped Children,2018,"Throughout its history, special education has been constantly besieged with ""new trends"" and ""panaceas."" Some have improved programs for the handicapped, while others have only sidetracked us. However, during the past decade, special education has been participating in one of the most exciting trends in educational history. It was too long in coming, but is gaining momentum with each day. The movement is, of course, the present attention which is now being given to early education."
026-782-601-113-530,Friday Night Disability: The Portrayal of Parent-Child Interactions on Television's Friday Night Lights,2018,"Studies of television portrayals of parent/child relationships where the child has a disability are rare. Using the social relational theory perspective, this study examines interactions between parents and a young man with a disability as portrayed in the acclaimed contemporary television series, Friday Night Lights. We found a nuanced relationship between the portrayed teen and his parents and a powerful influence of the community on the parent-child relations and family life."
026-875-720-642-85X,"Reggio Emilia Inspired Learning Groups: Relationships, Communication, Cognition, and Play",2016,"A key aspect of the Reggio Emilia inspired curriculum is a learning group approach that fosters social and cognitive development. The purpose of this paper is to investigate how a Reggio Emilia inspired learning group approach works for children with and without disabilities. This study gives insight into how to form an appropriate learning group including the effective ratio between children with and without disabilities, the teacher expertise required and other supporting strategies for children with special needs to function more positively in a learning group approach. This study employed both qualitative and quantitative data analysis to code selected videotaped learning group sessions. Findings indicated that across the five children, four children developed in the areas of relationship, communication, and play skills. Children within the learning group exhibited increased interest, inclusion, friendship, and empathy toward both children with special needs. In addition, facilitating high quality learning groups requires intentional planning, reflection, and engagement from children and teachers."
027-011-579-029-631,Early childhood educators' provision of remote learning during COVID-19.,2022,This study utilized a nationally distributed survey to explore early childhood teachers' experience of providing remote learning to young children and their families during the early months of the U.S. response to the COVID-19 pandemic. A convergent parallel mixed-methods design was used to analyze 805 participants' responses to closed and open-ended survey questions. Results indicated that teachers provided various remote learning activities and spent more time planning instruction and communicating with families than providing instruction directly to children. Early childhood teachers reported several positive aspects of remote learning and various challenges during the initial months of the pandemic. Study findings are discussed in the context of policy and practical implications for supporting early childhood teachers to deliver high-quality and developmentally appropriate remote learning for all young children and their families.
027-264-480-123-56X,Preparing Speech Language Pathology Students to Work in Early Childhood.,2012,"The shortage of highly qualified speech language pathologists (SLPs) with specialized training in early intervention and early childhood special education (EI/ECSE) is a pressing issue facing the field and dramatically impacts young children’s social and academic success. SLP personnel preparation programs focused on training specialists in EI/ECSE are crucial to building a highly qualified workforce to meet the needs of young children with disabilities and their families. The purpose of this manuscript is to describe the design and implementation of one such program. The guiding principles, competencies, and practica experiences of this federally funded program are illustrated. Outcomes are delineated in terms of student competencies, feasibility of implementing an early childhood specialization within an SLP graduate program, and the impact on the local community and EI/ECSE workforce."
027-312-144-394-794,"From Early Childhood Special Education to Special Education Resource Rooms: Identification, Assessment, and Eligibility Determinations for English Language Learners With Reading-Related Disabilities",2008,"Results of an exploratory study of eligibility decisions made for 19 Spanish-speaking English language learners (ELLs), who qualified for special education in early childhood and subsequently recei..."
027-347-843-113-007,Family Support and Early Intervention Services for the Youngest Children with Visual Impairments,2014,"The newest generation of professionals in the field of educating learners who are visually impaired (that is, those who are blind or have low vision) have both preservice training and an abundance of professional materials to assist them as they work to address the early intervention and specially designed instructional needs of the youngest children with visual impairments, those from birth through 5 years of age. University preparation programs in visual impairment address the professional competencies that professionals need to provide education services across the life span from birth to 21 years. Federal grants from the U.S. Office of Special Education Programs (OSEP) have supported the development of both preservice (for example, the Early Intervention Training Center for Infants and Toddlers) and inservice (for example, Vision Impaired Inservice in America, VIISA) modules or training resources for services for young children (birth to age 5) who are visually impaired. There are a plethora of books and resource materials that detail research-based findings for the developmental trajectory of young children who are visually impaired, as well as evidence-based interventions and family-support strategies. The field of visual impairment has a long and proud history of providing educational services to children under the age of the 5 years. Such services began before the U.S. federal mandate (that is, the Individuals with Disabilities Education Act, IDEA) for Part B services for school-age children with disabilities, including preschool-aged children, and later Part C services for infants and toddlers with disabilities. These specialized early educational services were offered traditionally by entities who worked exclusively with children who are visually impaired. Today, the field of visual impairment has evolved to expect the timely provision of specialized and visual impairment-specific early intervention services and supports as soon as a young child is diagnosed with early-onset visual impairment. Or do barriers still remain to early intervention services? It is important to ask whether every family of a child newly diagnosed with a congenital or early-onset visual impairment has access to a certified teacher of children with visual impairments and a certified orientation and mobility (O&M) specialist. For that matter, are all children diagnosed with visual impairments as early as possible to ensure the soonest possible medical interventions and referrals for specialized early intervention services? Are the visual impairment experts well trained enough in early childhood education that they can differentiate practices that are appropriate for infants and toddlers from those that are appropriate for preschoolers or those that are appropriate for kindergarteners or older children? The life span of birth to age 21 has many unique phases of development that are described in the research of Piaget, Erickson, Vygotsky, and other recent theorists of early neuroscience-based learning. Early childhood and early childhood special education are fields onto themselves. As such, practitioners need considerable knowledge to offer family-centered and developmentally appropriate practices that address and support routines-based interventions in natural environments that include the unique and important early intervention services and supports that are needed by infants and toddlers with disabilities and their families. It is simply not enough to understand the effect of and general intervention needs related to pediatric vision loss when working with young children with visual impairments. Teachers of children with visual impairments and certified O&M specialists, in roles as early interventionists, need to first understand general child development, then the potential impact of vision loss on the development of children, and, most importantly, the need for individualized supports for children and families based on their priorities, culture, and self-identified needs. …"
027-555-084-861-800,Collaborative Teaming to Support Preschoolers With Severe Disabilities Who Are Placed in General Education Early Childhood Programs,2004,"Researchers in 2 studies investigated the effectiveness of a general education/special education collaborative teaming process in increasing the engagement, development, and learning of preschoolers with severe disabilities who were placed in general education early childhood programs that operated under a team-teaching model. The process included monthly team meetings to develop educational and social supports for targeted preschoolers, which were then collaboratively implemented by the educational team members. Study 1 focused on 3 teams composed of early childhood and special education teachers, instructional assistants, speech—language therapists, and parents who supported a child with significant disabilities attending one of the 3 participating preschools. Study 2 extended the collaborative teaming model to include all preschoolers with disabilities attending one of the preschool programs from the first study who required intensive levels of support (4 children). The effectiveness of the collaborati..."
027-897-966-184-696,Are Minority Children Disproportionately Represented in Early Intervention and Early Childhood Special Education,2012,"We investigated whether and to what extent children who are racial/ethnic minorities are disproportionately represented in early intervention and/or early childhood special education (EC/ECSE). We did so by analyzing a large sample of 48-month-olds (N=7,950) participating in the Early Childhood Longitudinal Study-Birth Cohort (ECLS-B), a nationally representative dataset of children born in the U.S. in 2001. Multivariate logistic regression analyses indicate that boys (OR=1.66), children born at very low birthweight (OR=3.98) or with congenital anomalies (OR=2.17), and children engaging in externalizing problem behaviors (OR=1.10) are more likely to be represented in EI/ECSE. Children from low SES households (OR=.48), those displaying greater numeracy or receptive language knowledge (ORs=.96 and .76, respectively), and children being raised in households where a language other than English is primarily spoken (OR=.39) are less likely to be represented in EI/ECSE. Statistical control for these and an extensive set of additional factors related to cognitive and behavioral functioning indicated that 48-month-old children who are Black (OR=.24) or Asian (OR=.32) are disproportionately under-represented in EI/ECSE in the U.S."
027-954-840-633-79X,The Hospital: An Important Site for Family-Centered Early Intervention,1993,"Advances in medical technology have increased the survival rate of infants with chronic health impairments and developmental disabilities. As a result, infants are often hospitalized for longer per..."
028-030-603-992-357,Perceived Needs of and Support for Puerto Rican Mothers of Young Children with Disabilities,1999,"The study compared the family needs and sources of support as perceived by 55 Puerto Rican mothers of young children with disabilities residing in Puerto Rico (PR) and 39 of their counterparts living in Florida (FL). The relationship between (a) perceived family needs and sources of support and (b) mother and child characteristics was also explored. The ABILITIES Index, the Family Needs Survey, and the Family Support Scale were used in the interview process to measure, respectively, mothers' perception of (a) child's extent of delay, (b) family needs, and (c) sources of support. Multiple regression analyses indicated that family needs did not differ in the PR and FL samples. Mothers from the PR sample did, however, perceive significantly more sources of support than mothers in the FL sample. Implications for early interventionists working with Puerto Rican families of young children with disabilities are discussed."
028-130-929-955-941,Critical Issues and Promising Practices for Teaching Play to Young Children with Disabilities,2016,"Play contributes to the learning, development, and well-being of children. Play offers an ideal context for engaging with others in meaningful and mutually beneficial interactions. Play also promotes participation in natural environments in ways that advance learning and development. Early experiences that promote increasing complexity of play provide a foundation for future friendships, participation, and learning. Children with disabilities, however, play less often and use less complex play than their peers. The purpose of this chapter is to provide an overview of the intervention research related to increasing play skills in young children. Implications for research and practice also are described."
028-375-292-176-38X,A Randomized Control Study of Responsive Teaching With Young Turkish Children and Their Mothers,2011,A randomized control study was conducted to evaluate the effectiveness of responsive teaching (RT) with a sample of 19 Turkish preschool-age children with disabilities and their mothers over a 6-mo...
028-427-557-416-409,Definitions and Eligibility Criteria Applied to the Adolescent and Adult Population with Learning Disabilities across Agencies,1999,"The purpose of this study was to investigate the similarities and differences across state agencies serving ado- lescents and adults with learning disabilities in relation to their definitions and eligibility criteria for services. Significant differences were noted within and across agen- cies. Specific emphasis was given to investigating the 51 state departments of special education (SPE) and vocational reha- bilitation (VR), including Washington, DC. A conceptual framework consisting of 21 components was used in analyz- ing the definitions and criteria. A follow-up phone interview was conducted with 14 state departments of SPE and VR to provide additional input on current trends that might not have been reflected in the empirical data. An outcome of those findings resulted in suggestions for definitions and eli- gibility criteria policy across state agencies."
028-609-099-764-023,Using constant time delay to teach self-feeding to young students with severe/profound handicaps: Evidence of limited effectiveness,1991,"This paper describes an investigation to determine the effectiveness of a constant time-delay procedure used in a total task format to teach chained self-feeding skills to two preschool children with severe handicaps. Training was conducted during snacktime using a 3-sec delay interval with a controlling prompt of physical guidance. Both children learned spoon use; in addition, one child learned cup use. These behaviours maintained over time. Although there was not adequate time to teach additional behaviors to establish experimental control, results indicate that the constant time-delay procedure merits further investigation as an effective means of teaching self-feeding tasks."
028-710-015-764-461,A cross-cultural comparison of services for young children with disabilities using the ACEI Global Guidelines Assessment (GGA).,2011,"Because young children with special needs frequently experience unequal access to quality education worldwide, understanding characteristics of services currently provided to them is critical to identifying practices that work as well as gaps in services and the reasons behind these trends. Two studies were conducted using the ACEI Global Guidelines Assessment (GGA) to investigate the access to and quality of special education services in early childhood care and education (ECCE) programs across eight countries in the Americas and Asia. Study I included 138 participants in 69 programs across five Latin American countries and Study II included 336 participants in 168 programs across four countries and six sites. Results from both studies indicate that ECCE programs strive to provide equal access to young children regardless of ethnicity, religion, language, gender, and socio-economic status. However, insufficient resources and policies were cited as a barrier to services for children with disabilities. This situation was especially true in rural communities. Therefore, national policies are needed to improve the quality of service and to make funds consistently available for services for young children with special needs. This finding is congruent with international reports."
029-363-455-423-620,State Policy as an Influence on the Participation of Young Children with Medical Needs in Childcare,2004,"The authors collected data from 48 states and the District of Columbia regarding state policies that affect the participation of children with medical needs in licensed childcare. They began with a more narrowly focused agenda of identifying policies affecting children with medically complex needs, but because few regulations are directed to this population, broadened their inquiry. The authors propose a conceptual change in the way professionals think about children with medical complexity. They argue that individual children may enter (and leave) a “zone of medical complexity” rather than being part of a fixed population they term children with medical complexity. Additional findings are clustered into six thematic areas: restrictions on dispensing of medications, policies on other medical treatments, higher subsidies and other financial supports, childcare health consultants and other informational resources, policies regarding specialized centers, and issues related to boards of nursing or nurse pract..."
